Workout date, 2019-07-17 16:05:32 
Duration, 490
Calories burned, 0
Mean heart rate,  85.17
Maximum heart rate, 105
Notes, Other exercise

Time (seconds), Rate (beats per minute)
    21.9, 75
    26.9, 78
    27.9, 77
    36.9, 76
    38.9, 79
    42.9, 82
    47.9, 82
    54.9, 89
    57.9, 91
    62.9, 98
    69.8, 102
    72.8, 103
    77.8, 105
    89.8, 103
    94.8, 104
    98.8, 102
   103.8, 102
   111.8, 101
   116.8, 100
   121.8, 96
   122.8, 96
   127.8, 96
   133.8, 96
   137.8, 97
   142.8, 98
   149.8, 98
   155.8, 97
   161.8, 97
   164.8, 97
   167.8, 98
   174.8, 97
   177.8, 97
   185.8, 95
   189.8, 96
   196.8, 96
   198.8, 96
   203.8, 96
   207.8, 96
   216.8, 95
   220.8, 94
   223.8, 95
   231.8, 94
   232.8, 94
   241.8, 91
   242.8, 91
   247.8, 92
   255.8, 92
   257.8, 92
   264.8, 91
   269.8, 91
   273.8, 90
   281.8, 90
   286.8, 91
   288.8, 91
   293.8, 90
   301.8, 91
   304.8, 90
   321.1, 81
   327.1, 81
   330.1, 79
   333.1, 79
   338.1, 78
   347.1, 70
   348.1, 70
   357.1, 75
   358.1, 74
   363.1, 71
   372.1, 69
   374.1, 67
   382.1, 63
   384.1, 65
   391.1, 69
   393.1, 69
   398.1, 74
   403.1, 78
   408.1, 80
   417.1, 80
   425.0, 77
   432.0, 72
   436.0, 67
   440.0, 67
   448.0, 67
   453.0, 66
   454.0, 65
   463.0, 66
   466.0, 67
   473.0, 67
   474.0, 67
   489.0, 72
