Time,Heart Rate
16:02:48,70
16:03:02,70
16:04:00,70
16:07:44,70
16:07:56,70
16:10:05,70
16:10:15,74
16:20:04,70
16:20:40,70
16:20:55,70
16:21:10,91
16:21:15,95
16:21:30,95
16:21:45,95
16:21:55,91
16:22:05,90
16:22:10,89
16:22:20,81
16:22:25,77
16:22:30,70
16:22:45,70
16:22:55,64
16:23:00,64
16:23:05,63
16:23:15,62
16:23:20,61
16:23:25,62
16:23:30,66
16:23:35,67
16:23:40,67
16:23:50,65
16:24:00,68
16:24:05,66
16:24:12,66
16:24:27,66
16:24:32,68
16:24:37,68
16:24:42,67
16:24:47,68
16:24:52,67
16:24:57,66
16:25:12,66
16:25:27,65
16:25:32,65
16:25:37,64
16:25:42,64
16:25:52,65
16:25:57,63
16:26:02,62
16:26:07,61
16:26:12,60
16:26:22,61
16:26:27,72
16:26:32,74
16:26:37,67
16:26:42,67
16:26:47,68
16:26:52,65
16:26:57,63
16:27:03,59
16:27:08,64
16:27:13,62
16:27:18,63
16:27:33,62
16:27:43,61
16:27:48,64
16:27:53,68
16:27:58,71
16:28:03,73
16:28:08,76
16:28:13,78
16:28:18,77
16:28:23,75
16:28:28,77
16:28:33,78
16:28:38,80
16:28:43,83
16:28:48,82
16:28:53,81
16:28:58,84
16:29:03,86
16:29:08,87
16:29:13,90
16:29:23,92
16:29:28,93
16:29:33,92
16:29:39,92
16:29:44,93
16:29:49,94
16:29:54,95
16:30:04,97
16:30:09,98
16:30:14,100
16:30:24,102
16:30:29,101
16:30:34,99
16:30:44,96
16:30:54,95
16:30:59,97
16:31:04,95
16:31:09,96
16:31:14,98
16:31:19,101
16:31:24,100
16:31:29,101
16:31:34,100
16:31:44,99
16:31:49,100
16:31:54,99
16:31:59,98
16:32:04,99
16:32:09,101
16:32:14,103
16:32:20,102
16:32:25,100
16:32:30,98
16:32:35,99
16:32:40,106
16:32:50,102
16:33:00,101
16:33:05,100
16:33:10,97
16:33:15,95
16:33:20,91
16:33:25,89
16:33:40,90
16:33:45,92
16:33:50,84
16:33:55,82
16:34:00,74
16:34:05,73
16:34:10,72
16:34:15,73
16:34:25,72
16:34:40,73
16:34:55,73
16:35:05,72
16:35:10,73
16:35:15,76
16:35:20,75
16:35:27,76
16:35:32,77
16:35:37,76
16:35:47,77
16:35:57,73
16:36:02,72
16:36:07,71
16:36:17,72
16:36:22,72
16:36:32,72
16:37:26,70
16:43:19,70
16:51:16,70
16:51:26,70
16:52:02,70
16:52:10,70
16:53:01,70
16:53:10,70
16:53:15,76
16:53:24,70
16:53:38,70
16:53:43,70
16:54:15,70
16:54:31,70
16:56:59,70
16:57:06,70
16:57:11,71
16:57:16,64
16:57:32,70
16:58:35,70
16:58:45,116
16:58:50,112
16:59:14,70
16:59:40,70
16:59:50,108
16:59:55,119
